Game Name	Game Link	Start date	Game Type	Mod	Player	Affiliation	Role	"Killed? (n=nk, d=day kill, l= lynch, m= modkill)"	"Victory? (0=yes,1=no)"	Game ended day	Include in DB?	Post Restriction	Special Rules	Sub for	Sub day	Night Actions
lol turboments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8132940&page=0&fpart=all&vc=1	2006-11-21	Turbo	durron597	mornelth	Village	Vanilla	l1	0	6	1					
lol turboments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8132940&page=0&fpart=all&vc=1	2006-11-21	Turbo	durron597	NicholasP27	Village	Vanilla	n1	0	6	1					
lol turboments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8132940&page=0&fpart=all&vc=1	2006-11-21	Turbo	durron597	BobOjedaFan	Wolves		l2	1	6	1					
lol turboments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8132940&page=0&fpart=all&vc=1	2006-11-21	Turbo	durron597	VOX	Village	Vanilla	n2	0	6	1					
lol turboments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8132940&page=0&fpart=all&vc=1	2006-11-21	Turbo	durron597	tabako	Village	Vanilla	l3	0	6	1					
lol turboments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8132940&page=0&fpart=all&vc=1	2006-11-21	Turbo	durron597	Hornacek	Village	Vanilla	n3	0	6	1					
lol turboments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8132940&page=0&fpart=all&vc=1	2006-11-21	Turbo	durron597	Jeremy517	Village	Seer	l4	0	6	1					"BobOjedaFan,Hornacek,chim17,Patton4"
lol turboments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8132940&page=0&fpart=all&vc=1	2006-11-21	Turbo	durron597	Patton4	Village	Vanilla	n4	0	6	1					
lol turboments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8132940&page=0&fpart=all&vc=1	2006-11-21	Turbo	durron597	chim17	Wolves		l5	1	6	1					
lol turboments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8132940&page=0&fpart=all&vc=1	2006-11-21	Turbo	durron597	ScottHoward	Village	Vanilla	n5	0	6	1					
lol turboments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8132940&page=0&fpart=all&vc=1	2006-11-21	Turbo	durron597	4_2_it	Wolves		l6	1	6	1					
lol turboments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8132940&page=0&fpart=all&vc=1	2006-11-21	Turbo	durron597	wdcbooks	Village	Vanilla	s	0	6	1					
lol turboments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8132940&page=0&fpart=all&vc=1	2006-11-21	Turbo	durron597	CPFB	Village	Vanilla	s	0	6	1					
Happy B-Day Amp Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8144310&page=262&fpart=all&vc=1	2006-11-22	Turbo	aaronk56	sightless	Wolves		l1	1	3	1					
Happy B-Day Amp Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8144310&page=262&fpart=all&vc=1	2006-11-22	Turbo	aaronk56	ScottHoward	Village	Vanilla	n1	0	3	1					
Happy B-Day Amp Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8144310&page=262&fpart=all&vc=1	2006-11-22	Turbo	aaronk56	dmk	Village	Vanilla	l2	0	3	1					
Happy B-Day Amp Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8144310&page=262&fpart=all&vc=1	2006-11-22	Turbo	aaronk56	Patton4	Village	Vanilla	n2	0	3	1					
Happy B-Day Amp Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8144310&page=262&fpart=all&vc=1	2006-11-22	Turbo	aaronk56	BluffBlank	Wolves		l3	1	3	1					
Happy B-Day Amp Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8144310&page=262&fpart=all&vc=1	2006-11-22	Turbo	aaronk56	mornelth	Village	Seer	s	0	3	1					"4_2_it,dmk,NicholasP27"
Happy B-Day Amp Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8144310&page=262&fpart=all&vc=1	2006-11-22	Turbo	aaronk56	4_2_it	Village	Vanilla	s	0	3	1					
Happy B-Day Amp Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8144310&page=262&fpart=all&vc=1	2006-11-22	Turbo	aaronk56	NicholasP27	Village	Vanilla	s	0	3	1					
Happy B-Day Amp Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8144310&page=262&fpart=all&vc=1	2006-11-22	Turbo	aaronk56	amplify	Village	Vanilla	s	0	3	1					
Thursday Morning Turbo Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8231811&page=258&fpart=all&vc=1	2006-11-30	Turbo	chuckleslovakian	soah	Village	Vanilla	l1	0	4	1					
Thursday Morning Turbo Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8231811&page=258&fpart=all&vc=1	2006-11-30	Turbo	chuckleslovakian	Patton4	Village	Vanilla	n1	0	4	1					
Thursday Morning Turbo Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8231811&page=258&fpart=all&vc=1	2006-11-30	Turbo	chuckleslovakian	dmk	Wolves		l2	1	4	1					
Thursday Morning Turbo Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8231811&page=258&fpart=all&vc=1	2006-11-30	Turbo	chuckleslovakian	Jonsan	Village	Seer	n2	0	4	1					
Thursday Morning Turbo Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8231811&page=258&fpart=all&vc=1	2006-11-30	Turbo	chuckleslovakian	BluffBlank	Village	Vanilla	l3	0	4	1					
Thursday Morning Turbo Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8231811&page=258&fpart=all&vc=1	2006-11-30	Turbo	chuckleslovakian	ScottHoward	Village	Vanilla	n3	0	4	1					
Thursday Morning Turbo Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8231811&page=258&fpart=all&vc=1	2006-11-30	Turbo	chuckleslovakian	mornelth	Wolves		l4	1	4	1					
Thursday Morning Turbo Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8231811&page=258&fpart=all&vc=1	2006-11-30	Turbo	chuckleslovakian	Hornacek	Village	Vanilla	s	0	4	1					
Thursday Morning Turbo Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8231811&page=258&fpart=all&vc=1	2006-11-30	Turbo	chuckleslovakian	wdcbooks	Village	Vanilla	s	0	4	1					
evening wwaments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8240917&page=256&fpart=all&vc=1	2006-11-30	Turbo	CPFB	chuckleslovakian	Village	Vanilla	l1	0	3	0					
evening wwaments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8240917&page=256&fpart=all&vc=1	2006-11-30	Turbo	CPFB	soah	Village	Vanilla	n1	0	3	0					
evening wwaments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8240917&page=256&fpart=all&vc=1	2006-11-30	Turbo	CPFB	valenzuela	Wolves		l2	1	3	0					
evening wwaments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8240917&page=256&fpart=all&vc=1	2006-11-30	Turbo	CPFB	TIEdup14	Village	Seer	n2	0	3	0					"metsandfinsfan,w0RthLeSs"
evening wwaments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8240917&page=256&fpart=all&vc=1	2006-11-30	Turbo	CPFB	JaredL	Wolves		c	1	3	0			Hawklet	2	
evening wwaments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8240917&page=256&fpart=all&vc=1	2006-11-30	Turbo	CPFB	econophile	Village	Vanilla	s	0	3	0					
evening wwaments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8240917&page=256&fpart=all&vc=1	2006-11-30	Turbo	CPFB	metsandfinsfan	Village	Vanilla	s	0	3	0					
evening wwaments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8240917&page=256&fpart=all&vc=1	2006-11-30	Turbo	CPFB	lastchance	Village	Vanilla	s	0	3	0					
evening wwaments	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8240917&page=256&fpart=all&vc=1	2006-11-30	Turbo	CPFB	w0RthLeSs	Village	Vanilla	s	0	3	0					
Late Night Turbo GAME Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8242054&page=0&fpart=all&vc=1	2006-12-01	Turbo	traz	chuckleslovakian	Village	Vanilla	l1	1	3	1					
Late Night Turbo GAME Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8242054&page=0&fpart=all&vc=1	2006-12-01	Turbo	traz	amplify	Village	Vanilla	n1	1	3	1					
Late Night Turbo GAME Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8242054&page=0&fpart=all&vc=1	2006-12-01	Turbo	traz	Hornacek	Village	Vanilla	l2	1	3	1					
Late Night Turbo GAME Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8242054&page=0&fpart=all&vc=1	2006-12-01	Turbo	traz	soah	Village	Seer	n2	1	3	1					"JaredL,amplify"
Late Night Turbo GAME Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8242054&page=0&fpart=all&vc=1	2006-12-01	Turbo	traz	metsandfinsfan	Village	Vanilla	l3	1	3	1					
Late Night Turbo GAME Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8242054&page=0&fpart=all&vc=1	2006-12-01	Turbo	traz	lastchance	Wolves		s	0	3	1					
Late Night Turbo GAME Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8242054&page=0&fpart=all&vc=1	2006-12-01	Turbo	traz	valenzuela	Wolves		s	0	3	1					
Late Night Turbo GAME Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8242054&page=0&fpart=all&vc=1	2006-12-01	Turbo	traz	tabako	Village	Vanilla	s	1	3	1					
Late Night Turbo GAME Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8242054&page=0&fpart=all&vc=1	2006-12-01	Turbo	traz	JaredL	Village	Vanilla	s	1	3	1					
TURBO PROGRAMMERS	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8265191&page=254&fpart=all&vc=1	2006-12-03	Turbo	durron597	LuckayLuck	Wolves		l1	1	3	1					
TURBO PROGRAMMERS	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8265191&page=254&fpart=all&vc=1	2006-12-03	Turbo	durron597	Iron_Yuppie	Village	Vanilla	n1	0	3	1					
TURBO PROGRAMMERS	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8265191&page=254&fpart=all&vc=1	2006-12-03	Turbo	durron597	Magra	Village	Vanilla	l2	0	3	1					
TURBO PROGRAMMERS	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8265191&page=254&fpart=all&vc=1	2006-12-03	Turbo	durron597	lastchance	Village	Vanilla	n2	0	3	1					
TURBO PROGRAMMERS	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8265191&page=254&fpart=all&vc=1	2006-12-03	Turbo	durron597	soah	Wolves		l3	1	3	1					
TURBO PROGRAMMERS	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8265191&page=254&fpart=all&vc=1	2006-12-03	Turbo	durron597	chuckleslovakian	Village	Seer	s	0	3	1					
TURBO PROGRAMMERS	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8265191&page=254&fpart=all&vc=1	2006-12-03	Turbo	durron597	amplify	Village	Vanilla	s	0	3	1					
TURBO PROGRAMMERS	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8265191&page=254&fpart=all&vc=1	2006-12-03	Turbo	durron597	ChrisV	Village	Vanilla	s	0	3	1					
TURBO PROGRAMMERS	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8265191&page=254&fpart=all&vc=1	2006-12-03	Turbo	durron597	metsandfinsfan	Village	Vanilla	s	0	3	1					
monday 1:11 PM werewolf game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8282161&page=253&fpart=all&vc=1	2006-12-04	Turbo	metsandfinsfan	NicholasP27	Wolves		l1	1	4	1					
monday 1:11 PM werewolf game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8282161&page=253&fpart=all&vc=1	2006-12-04	Turbo	metsandfinsfan	traz	Village	Vanilla	n1	0	4	1					
monday 1:11 PM werewolf game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8282161&page=253&fpart=all&vc=1	2006-12-04	Turbo	metsandfinsfan	ScottHoward	Village	Vanilla	l2	0	4	1					
monday 1:11 PM werewolf game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8282161&page=253&fpart=all&vc=1	2006-12-04	Turbo	metsandfinsfan	valenzuela	Village	Seer	n2	0	4	1					"traz,Patton4"
monday 1:11 PM werewolf game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8282161&page=253&fpart=all&vc=1	2006-12-04	Turbo	metsandfinsfan	chuckleslovakian	Village	Vanilla	l3	0	4	1					
monday 1:11 PM werewolf game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8282161&page=253&fpart=all&vc=1	2006-12-04	Turbo	metsandfinsfan	Patton4	Village	Vanilla	n3	0	4	1					
monday 1:11 PM werewolf game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8282161&page=253&fpart=all&vc=1	2006-12-04	Turbo	metsandfinsfan	mornelth	Wolves		l4	1	4	1					
monday 1:11 PM werewolf game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8282161&page=253&fpart=all&vc=1	2006-12-04	Turbo	metsandfinsfan	soah	Village	Vanilla	s	0	4	1					
monday 1:11 PM werewolf game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8282161&page=253&fpart=all&vc=1	2006-12-04	Turbo	metsandfinsfan	wdcbooks	Village	Vanilla	s	0	4	1					
Tuesday Turbo Game Thread - Inside?	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8299059&page=252&fpart=all&vc=1	2006-12-05	Turbo	NicholasP27	wdcbooks	Village	Vanilla	l1	1	4	1					
Tuesday Turbo Game Thread - Inside?	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8299059&page=252&fpart=all&vc=1	2006-12-05	Turbo	NicholasP27	chuckleslovakian	Village	Vanilla	n1	1	4	1					
Tuesday Turbo Game Thread - Inside?	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8299059&page=252&fpart=all&vc=1	2006-12-05	Turbo	NicholasP27	BluffBlank	Village	Seer	l2	1	4	1					"metsandfinsfan,Jeremy517"
Tuesday Turbo Game Thread - Inside?	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8299059&page=252&fpart=all&vc=1	2006-12-05	Turbo	NicholasP27	metsandfinsfan	Village	Vanilla	n2	1	4	1					
Tuesday Turbo Game Thread - Inside?	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8299059&page=252&fpart=all&vc=1	2006-12-05	Turbo	NicholasP27	traz	Wolves		l3	0	4	1					
Tuesday Turbo Game Thread - Inside?	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8299059&page=252&fpart=all&vc=1	2006-12-05	Turbo	NicholasP27	Jeremy517	Village	Vanilla	n3	1	4	1					
Tuesday Turbo Game Thread - Inside?	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8299059&page=252&fpart=all&vc=1	2006-12-05	Turbo	NicholasP27	ScottHoward	Village	Vanilla	l4	1	4	1					
Tuesday Turbo Game Thread - Inside?	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8299059&page=252&fpart=all&vc=1	2006-12-05	Turbo	NicholasP27	valenzuela	Wolves		s	0	4	1					
Tuesday Turbo Game Thread - Inside?	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8299059&page=252&fpart=all&vc=1	2006-12-05	Turbo	NicholasP27	VOX	Village	Vanilla	s	1	4	1					
you guys........... are gonna play werefish	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8313701&page=251&fpart=all&vc=1	2006-12-06	Turbo	His Boy Elroy	tabako	Village	Vanilla	l1	0	4	1					
you guys........... are gonna play werefish	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8313701&page=251&fpart=all&vc=1	2006-12-06	Turbo	His Boy Elroy	valenzuela	Village	Vanilla	n1	0	4	1					
you guys........... are gonna play werefish	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8313701&page=251&fpart=all&vc=1	2006-12-06	Turbo	His Boy Elroy	NicholasP27	Wolves		l2	1	4	1					
you guys........... are gonna play werefish	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8313701&page=251&fpart=all&vc=1	2006-12-06	Turbo	His Boy Elroy	kbar13	Village	Seer	n2	0	4	1					",NicholasP27"
you guys........... are gonna play werefish	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8313701&page=251&fpart=all&vc=1	2006-12-06	Turbo	His Boy Elroy	clowntable	Village	Vanilla	l3	0	4	1					
you guys........... are gonna play werefish	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8313701&page=251&fpart=all&vc=1	2006-12-06	Turbo	His Boy Elroy	Patton4	Village	Vanilla	n3	0	4	1					
you guys........... are gonna play werefish	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8313701&page=251&fpart=all&vc=1	2006-12-06	Turbo	His Boy Elroy	BluffBlank	Wolves		l4	1	4	1					
you guys........... are gonna play werefish	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8313701&page=251&fpart=all&vc=1	2006-12-06	Turbo	His Boy Elroy	metsandfinsfan	Village	Vanilla	s	0	4	1			mornelth	2	
you guys........... are gonna play werefish	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8313701&page=251&fpart=all&vc=1	2006-12-06	Turbo	His Boy Elroy	ScottHoward	Village	Vanilla	s	0	4	1					
you guys........... are gonna play werefish	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8313701&page=251&fpart=all&vc=1	2006-12-06	Turbo	His Boy Elroy	dmk	Village	Vanilla	s	0	4	1					
you guys........... are gonna play werefish	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8313701&page=251&fpart=all&vc=1	2006-12-06	Turbo	His Boy Elroy	amplify	Village	Vanilla	s	0	4	1					
Thursday Noon Lynchathon	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8327250&page=250&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	BluffBlank	Village	Vanilla	l1	0	5	1					
Thursday Noon Lynchathon	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8327250&page=250&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	dmk	Village	Vanilla	n1	0	5	1					
Thursday Noon Lynchathon	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8327250&page=250&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	fmxda	Village	Vanilla	l2	0	5	1					
Thursday Noon Lynchathon	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8327250&page=250&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	Patton4	Village	Vanilla	n2	0	5	1					
Thursday Noon Lynchathon	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8327250&page=250&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	yasher	Village	Seer	l3	0	5	1					
Thursday Noon Lynchathon	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8327250&page=250&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	amplify	Village	Vanilla	n3	0	5	1					
Thursday Noon Lynchathon	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8327250&page=250&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	NicholasP27	Wolves		l4	1	5	1					
Thursday Noon Lynchathon	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8327250&page=250&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	lastchance	Village	Vanilla	n4	0	5	1					
Thursday Noon Lynchathon	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8327250&page=250&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	mornelth	Wolves		l5	1	5	1					
Thursday Noon Lynchathon	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8327250&page=250&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	valenzuela	Village	Vanilla	s	0	5	1					
Thursday Noon Lynchathon	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8327250&page=250&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	His Boy Elroy	Village	Vanilla	s	0	5	1					
"Werewolf, thursday afternoon game"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8329257&page=250&fpart=all&vc=1	2006-12-07	Turbo	valenzuela	mostsmooth	Wolves		l1	1	3	1					
"Werewolf, thursday afternoon game"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8329257&page=250&fpart=all&vc=1	2006-12-07	Turbo	valenzuela	dmk	Village	Vanilla	n1	0	3	1					
"Werewolf, thursday afternoon game"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8329257&page=250&fpart=all&vc=1	2006-12-07	Turbo	valenzuela	fmxda	Village	Vanilla	l2	0	3	1					
"Werewolf, thursday afternoon game"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8329257&page=250&fpart=all&vc=1	2006-12-07	Turbo	valenzuela	chuckleslovakian	Village	Vanilla	n2	0	3	1					
"Werewolf, thursday afternoon game"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8329257&page=250&fpart=all&vc=1	2006-12-07	Turbo	valenzuela	areinitz	Wolves		l3	1	3	1					
"Werewolf, thursday afternoon game"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8329257&page=250&fpart=all&vc=1	2006-12-07	Turbo	valenzuela	NicholasP27	Village	Vanilla	s	0	3	1					
"Werewolf, thursday afternoon game"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8329257&page=250&fpart=all&vc=1	2006-12-07	Turbo	valenzuela	BluffBlank	Village	Vanilla	s	0	3	1					
"Werewolf, thursday afternoon game"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8329257&page=250&fpart=all&vc=1	2006-12-07	Turbo	valenzuela	Jeremy517	Village	Vanilla	s	0	3	1					
"Werewolf, thursday afternoon game"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8329257&page=250&fpart=all&vc=1	2006-12-07	Turbo	valenzuela	clowntable	Village	Vanilla	s	0	3	1					
"Werewolf, thursday afternoon game"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8329257&page=250&fpart=all&vc=1	2006-12-07	Turbo	valenzuela	lastchance	Village	Seer	s	0	3	1					",Jeremy517,NicholasP27"
"Werewolf, thursday afternoon game"	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8329257&page=250&fpart=all&vc=1	2006-12-07	Turbo	valenzuela	Patton4	Village	Vanilla	s	0	3	1					
Afternooon Super Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8330624&page=249&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	fmxda	Village	Vanilla	l1	1	5	1					
Afternooon Super Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8330624&page=249&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	wdcbooks	Village	Vanilla	n1	1	5	1					
Afternooon Super Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8330624&page=249&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	Patton4	Village	Vanilla	l2	1	5	1					
Afternooon Super Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8330624&page=249&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	clowntable	Village	Vanilla	n2	1	5	1					
Afternooon Super Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8330624&page=249&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	tabako	Wolves		l3	0	5	1					
Afternooon Super Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8330624&page=249&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	dmk	Village	Seer	n3	1	5	1					",NicholasP27,mostsmooth"
Afternooon Super Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8330624&page=249&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	Stephen H	Village	Vanilla	l4	1	5	1					
Afternooon Super Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8330624&page=249&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	NicholasP27	Village	Vanilla	n4	1	5	1					
Afternooon Super Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8330624&page=249&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	areinitz	Village	Vanilla	l5	1	5	1					
Afternooon Super Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8330624&page=249&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	BluffBlank	Wolves		s	0	5	1					
Afternooon Super Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8330624&page=249&fpart=all&vc=1	2006-12-07	Turbo	Jeremy517	mostsmooth	Village	Vanilla	s	1	5	1					
Thursday Night Turbo on the NFL Network	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8335305&page=249&fpart=all&vc=1	2006-12-07	Turbo	VOX	ChrisV	Village	Vanilla	l1	0	3	1					
Thursday Night Turbo on the NFL Network	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8335305&page=249&fpart=all&vc=1	2006-12-07	Turbo	VOX	lastchance	Village	Vanilla	n1	0	3	1					
Thursday Night Turbo on the NFL Network	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8335305&page=249&fpart=all&vc=1	2006-12-07	Turbo	VOX	xorbie	Wolves		l2	1	3	1					
Thursday Night Turbo on the NFL Network	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8335305&page=249&fpart=all&vc=1	2006-12-07	Turbo	VOX	VoraciousReader	Village	Seer	n2	0	3	1					"valenzuela,xorbie"
Thursday Night Turbo on the NFL Network	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8335305&page=249&fpart=all&vc=1	2006-12-07	Turbo	VOX	Spook	Wolves		l3	1	3	1					
Thursday Night Turbo on the NFL Network	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8335305&page=249&fpart=all&vc=1	2006-12-07	Turbo	VOX	soah	Village	Vanilla	s	0	3	1					
Thursday Night Turbo on the NFL Network	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8335305&page=249&fpart=all&vc=1	2006-12-07	Turbo	VOX	Boiler_bd	Village	Vanilla	s	0	3	1					
Thursday Night Turbo on the NFL Network	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8335305&page=249&fpart=all&vc=1	2006-12-07	Turbo	VOX	fmxda	Village	Vanilla	s	0	3	1					
Thursday Night Turbo on the NFL Network	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8335305&page=249&fpart=all&vc=1	2006-12-07	Turbo	VOX	valenzuela	Village	Vanilla	s	0	3	1					
Friday Morning Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8341422&page=249&fpart=all&vc=1	2006-12-08	Turbo	chuckleslovakian	Iron_Yuppie	Wolves		l1	1	4	1					
Friday Morning Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=8341422&page=249&fpart=all&vc=1	2006-12-08	Turbo	chuckleslovakian	soah	Village	Seer	n1	0	4	1					","
